X 	 Y 	 Y_Predicted
0 	 3.2580805125031125 	 0.5730203802795181
1 	 1.5723930387017158 	 0.5222429867341675
2 	 1.0055197517836578 	 0.4714655931888169
3 	 0.4855066138604559 	 0.4206881996434664
4 	 0.48183717652943553 	 0.3699108060981158
5 	 0.6931440555714686 	 0.3191334125527652
6 	 -0.5596140022251975 	 0.2683560190074147
7 	 0.21130853344404749 	 0.21757862546206408
8 	 -0.4595307942944037 	 0.16680123191671353
9 	 -0.15415044173215062 	 0.11602383837136299
10 	 0.6418515177580112 	 0.06524644482601238
11 	 -1.4759016983946955 	 0.014469051280661782
12 	 -0.1823207234636075 	 -0.03630834226468871
13 	 -0.3794884071327244 	 -0.08708573581003931
14 	 -0.9343064776425499 	 -0.1378631293553899
15 	 -0.5978349553062351 	 -0.1886405229007404
16 	 -0.6931456180620454 	 -0.239417916446091
17 	 -0.37469202899089266 	 -0.2901953099914416
18 	 -0.8472946857934522 	 -0.3409727035367921
19 	 -0.11778268843483908 	 -0.3917500970821427
20 	 -0.4964354888009806 	 -0.4425274906274933
21 	 -0.2336143029366353 	 -0.4933048841728439
22 	 -0.3364712842420296 	 -0.5440822777181945
23 	 -0.7884546330987331 	 -0.5948596712635449
24 	 -0.36290454260398075 	 -0.6456370648088955
25 	 -0.9932486248697728 	 -0.6964144583542461
26 	 -0.8472946857934522 	 -0.7471918518995967
27 	 -0.5753617143561249 	 -0.7979692454449473
28 	 -0.9555083681119335 	 -0.8487466389902979
29 	 -2.4203567398276586 	 -0.8995240325356483
30 	 -1.9169140828106854 	 -0.9503014260809989
31 	 -0.567982763097797 	 -1.0010788196263496
32 	 -0.9028657295626928 	 -1.0518562131717002
33 	 -0.8209780066210698 	 -1.1026336067170508
34 	 -0.6931444027909642 	 -1.1534110002624014
35 	 -1.2992708630345755 	 -1.204188393807752
36 	 -1.0560485981754495 	 -1.2549657873531022
37 	 -1.4469142035382316 	 -1.3057431808984528
38 	 -2.014881354160871 	 -1.3565205744438034
39 	 -1.4469142035382316 	 -1.407297967989154
40 	 -1.21108776449932 	 -1.4580753615345046
41 	 -1.0788077201973432 	 -1.5088527550798552
42 	 -2.871663901736291 	 -1.5596301486252058
43 	 -2.079419666965573 	 -1.6104075421705564
44 	 -1.5198201734059797 	 -1.661184935715907
45 	 -1.7429634122203166 	 -1.7119623292612571
46 	 -1.8908450652822915 	 -1.7627397228066077
47 	 -1.293918906265883 	 -1.8135171163519583
48 	 -1.6094342760767446 	 -1.864294509897309
49 	 -1.4087637826347936 	 -1.9150719034426595
50 	 -1.6274527653456548 	 -1.9658492969880101
51 	 -2.058380863005344 	 -2.0166266905333607
52 	 -2.1041253738228782 	 -2.0674040840787113
53 	 -1.4469157966668293 	 -2.118181477624062
54 	 -2.068966601466564 	 -2.1689588711694126
55 	 -2.6149520544857747 	 -2.219736264714763
56 	 -1.134978047919924 	 -2.2705136582601138
57 	 -2.3353673889621858 	 -2.3212910518054644
