X 	 Y 	 Weights 	 Y_Predicted
0 	 11.002115507749183 	 1.0 	 -1.695571427113797
1 	 11.289793413590894 	 1.0 	 -1.8878085699677438
2 	 -1.0985789564125163 	 1.0 	 -2.0800457128216907
3 	 -9.903536551336668 	 1.0 	 -2.2722828556756376
4 	 -1.3862568622542268 	 1.0 	 -2.4645199985295845
5 	 -11.69525435507163 	 1.0 	 -2.6567571413835314
6 	 -10.596658732809079 	 1.0 	 -2.8489942842374782
7 	 -1.3862568622542268 	 1.0 	 -3.041231427091425
8 	 -0.6931221814724108 	 1.0 	 -3.233468569945372
9 	 0.0 	 1.0 	 -3.425705712799319
10 	 -9.903536551336668 	 1.0 	 -3.617942855653266
11 	 9.903536551336668 	 1.0 	 -3.810179998507213
12 	 -10.596658732809079 	 1.0 	 -4.0024171413611604
13 	 -9.903536551336668 	 1.0 	 -4.194654284215106
14 	 -11.289793413590894 	 1.0 	 -4.386891427069054
15 	 -11.289793413590894 	 1.0 	 -4.579128569923
16 	 -0.6931221814724108 	 1.0 	 -4.771365712776948
17 	 0.0 	 1.0 	 -4.963602855630894
18 	 -11.002115507749185 	 1.0 	 -5.155839998484842
19 	 0.0 	 1.0 	 -5.348077141338788
20 	 -11.289793413590894 	 1.0 	 -5.5403142841927355
21 	 -11.512934464930728 	 1.0 	 -5.732551427046682
22 	 -1.3862568622542268 	 1.0 	 -5.924788569900629
23 	 0.0 	 1.0 	 -6.117025712754576
24 	 -10.596658732809079 	 1.0 	 -6.309262855608523
25 	 -1.0985789564125163 	 1.0 	 -6.50149999846247
26 	 -10.596658732809079 	 1.0 	 -6.693737141316417
27 	 -11.289793413590894 	 1.0 	 -6.885974284170364
28 	 -10.596658732809079 	 1.0 	 -7.078211427024311
29 	 0.0 	 1.0 	 -7.2704485698782575
30 	 -11.849403844430716 	 1.0 	 -7.462685712732204
31 	 -10.596658732809079 	 1.0 	 -7.654922855586151
32 	 -11.002115507749185 	 1.0 	 -7.847159998440098
33 	 -11.002115507749185 	 1.0 	 -8.039397141294046
34 	 -11.289793413590894 	 1.0 	 -8.231634284147992
35 	 -10.596658732809079 	 1.0 	 -8.423871427001938
36 	 -0.40545677494010557 	 1.0 	 -8.616108569855886
37 	 0.0 	 1.0 	 -8.808345712709833
38 	 -1.6093979135940615 	 1.0 	 -9.00058285556378
39 	 -11.289793413590894 	 1.0 	 -9.192819998417725
40 	 -11.512934464930728 	 1.0 	 -9.385057141271673
41 	 -10.596658732809079 	 1.0 	 -9.577294284125621
42 	 -11.289793413590894 	 1.0 	 -9.769531426979569
43 	 -11.849403844430716 	 1.0 	 -9.961768569833513
44 	 -12.100716685418526 	 1.0 	 -10.15400571268746
45 	 -2.3025400941865066 	 1.0 	 -10.346242855541409
46 	 -10.596658732809079 	 1.0 	 -10.538479998395356
