X 	 Y 	 Y_Predicted
0 	 2.3022461441907307 	 -0.4347410708553392
1 	 0.8256610782075021 	 -0.4468880190406956
2 	 0.6978524923712488 	 -0.45903496722605197
3 	 -0.09590855481373375 	 -0.47118191541140836
4 	 0.2758938404318887 	 -0.48332886359676475
5 	 -0.25308271449624015 	 -0.49547581178212113
6 	 -0.33897494005173007 	 -0.5076227599674775
7 	 -0.26093514456701594 	 -0.519769708152834
8 	 -0.23638852905486182 	 -0.5319166563381903
9 	 -0.4732417395060072 	 -0.5440636045235467
10 	 -0.4270527572886289 	 -0.5562105527089031
11 	 -0.48862535127815193 	 -0.5683575008942595
12 	 -0.6312389763585473 	 -0.5805044490796158
13 	 -0.9109689901221536 	 -0.5926513972649723
14 	 -0.2702455919649646 	 -0.6047983454503287
15 	 -1.0494730465950592 	 -0.6169452936356851
16 	 -1.708559638142313 	 -0.6290922418210414
17 	 -1.3815556235760185 	 -0.6412391900063978
18 	 -1.3903544791107312 	 -0.6533861381917543
19 	 -1.499612171519233 	 -0.6655330863771106
20 	 -0.9580961540330423 	 -0.677680034562467
21 	 -1.2137767446493755 	 -0.6898269827478234
22 	 -1.1824807867313614 	 -0.7019739309331798
23 	 -1.1511205196233145 	 -0.7141208791185362
24 	 -0.9284538613687738 	 -0.7262678273038926
25 	 -0.8778762025957928 	 -0.7384147754892489
26 	 -1.247023742127587 	 -0.7505617236746054
27 	 -1.0133074970455727 	 -0.7627086718599618
28 	 -1.0745076813900372 	 -0.7748556200453182
29 	 -1.1622923943073047 	 -0.7870025682306745
30 	 -1.0473130440244618 	 -0.7991495164160309
31 	 -1.4675272479261914 	 -0.8112964646013874
32 	 -1.1939137564213007 	 -0.8234434127867437
33 	 -1.1675969591600417 	 -0.8355903609721
34 	 -1.3307145679640724 	 -0.8477373091574565
35 	 -1.0069219012826327 	 -0.8598842573428129
36 	 -1.3342421433769676 	 -0.8720312055281693
37 	 -2.0646059118273454 	 -0.8841781537135256
38 	 -1.2256031492244748 	 -0.896325101898882
39 	 -1.7404551807732351 	 -0.9084720500842385
40 	 -1.6790606545116271 	 -0.9206189982695948
41 	 -1.647408044149849 	 -0.9327659464549513
42 	 -1.272958475857939 	 -0.9449128946403076
43 	 -1.3415520048949394 	 -0.957059842825664
44 	 -1.8632020061892771 	 -0.9692067910110204
45 	 -2.087204520533022 	 -0.9813537391963768
46 	 -1.4420981767487582 	 -0.9935006873817331
47 	 -1.586942960987681 	 -1.0056476355670896
