X 	 Y 	 Y_Predicted
0 	 1.3349936983504564 	 -2.323908740969695
1 	 0.9162877318816552 	 -2.3906761506756684
2 	 -0.26826308161947016 	 -2.4574435603816416
3 	 -12.793861088209491 	 -2.524210970087615
4 	 -0.8266745553439345 	 -2.5909783797935884
5 	 -0.9162757321216507 	 -2.657745789499562
6 	 -2.0793977928665153 	 -2.7245131992055356
7 	 -1.3862849861837572 	 -2.7912806089115088
8 	 -0.8266745553439346 	 -2.8580480186174824
9 	 -1.9458672930940497 	 -2.9248154283234555
10 	 -12.54254745357765 	 -2.991582838029429
11 	 -0.6931430139151535 	 -3.0583502477354028
12 	 -1.7917178037349604 	 -3.125117657441376
13 	 -1.8717810233393826 	 -3.1918850671473495
14 	 -1.9458887207685742 	 -3.2586524768533227
15 	 -1.7917178037349604 	 -3.3254198865592963
16 	 -12.847928163281185 	 -3.39218729626527
17 	 -12.73670283776793 	 -3.458954705971243
18 	 -1.734587330018747 	 -3.5257221156772163
19 	 -1.7917386361777032 	 -3.59248952538319
20 	 -2.3025400941865066 	 -3.6592569350891635
21 	 -2.0148813541608717 	 -3.726024344795137
22 	 -12.38839736898678 	 -3.7927917545011103
23 	 0.08701099820302205 	 -3.8595591642070834
24 	 -0.5596131093744694 	 -3.926326573913057
25 	 -1.0986056220392209 	 -3.9930939836190307
26 	 -1.609417912714096 	 -4.059861393325004
27 	 -2.8903245368728228 	 -4.126628803030977
28 	 -2.995684774753327 	 -4.193396212736951
29 	 -12.38839736898678 	 -4.260163622442924
30 	 -1.0986081220146378 	 -4.326931032148898
31 	 -1.2992708630345753 	 -4.3936984418548715
32 	 -1.3862890039955922 	 -4.460465851560844
33 	 -0.9808188364539993 	 -4.527233261266819
34 	 -1.4603993799809536 	 -4.594000670972791
35 	 -3.5552994912612115 	 -4.660768080678765
36 	 -12.994531278621908 	 -4.727535490384739
37 	 -3.367247555324604 	 -4.794302900090711
38 	 -1.832576213762091 	 -4.861070309796686
39 	 -3.6108692651959746 	 -4.927837719502659
40 	 -4.189605500802615 	 -4.994605129208632
41 	 -13.73212903598274 	 -5.061372538914606
42 	 -4.060393873815836 	 -5.1281399486205785
43 	 -2.047681956334418 	 -5.194907358326553
44 	 -3.0204011059445293 	 -5.261674768032526
45 	 -13.664687831021375 	 -5.328442177738499
46 	 -2.397849819447092 	 -5.395209587444473
