X 	 Y 	 Y_Predicted
0 	 0.5642956630167667 	 -0.7188014983732097
1 	 -0.167012664633698 	 -0.732438272172555
2 	 -0.3952635258197318 	 -0.7460750459719003
3 	 -0.5085522655148261 	 -0.7597118197712456
4 	 -0.651930232907345 	 -0.7733485935705908
5 	 -0.6776720688158014 	 -0.7869853673699361
6 	 -0.8003975849793897 	 -0.8006221411692813
7 	 -0.8310383885403096 	 -0.8142589149686267
8 	 -0.9783904083164254 	 -0.8278956887679719
9 	 -0.9795664420287492 	 -0.8415324625673172
10 	 -1.1189334016539472 	 -0.8551692363666625
11 	 -1.1174761935655004 	 -0.8688060101660078
12 	 -1.4522201478227574 	 -0.882442783965353
13 	 -1.360940649276535 	 -0.8960795577646983
14 	 -1.255011461149654 	 -0.9097163315640435
15 	 -1.2417972964683046 	 -0.9233531053633889
16 	 -1.3329122043353505 	 -0.9369898791627341
17 	 -1.3247101925958558 	 -0.9506266529620794
18 	 -1.1849659274104973 	 -0.9642634267614247
19 	 -1.1652117629906529 	 -0.97790020056077
20 	 -1.3655488155630855 	 -0.9915369743601152
21 	 -1.2404167689665153 	 -1.0051737481594605
22 	 -1.2666182215346111 	 -1.0188105219588057
23 	 -1.2722374972372443 	 -1.0324472957581512
24 	 -1.4409424852429151 	 -1.0460840695574962
25 	 -1.4957356754147304 	 -1.0597208433568417
26 	 -1.3074587756069977 	 -1.073357617156187
27 	 -1.2605778170435649 	 -1.0869943909555322
28 	 -1.064979602847179 	 -1.1006311647548774
29 	 -1.281059007751556 	 -1.1142679385542227
30 	 -1.2344488626826655 	 -1.127904712353568
31 	 -1.3369340182616913 	 -1.1415414861529132
32 	 -1.3799679064688088 	 -1.1551782599522586
33 	 -1.4788707997848538 	 -1.1688150337516037
34 	 -1.3653804947309625 	 -1.1824518075509491
35 	 -1.270595986940988 	 -1.1960885813502944
36 	 -1.4205961843421093 	 -1.2097253551496396
37 	 -1.196640869279211 	 -1.2233621289489849
38 	 -1.4165232774141965 	 -1.2369989027483301
39 	 -1.1482222977237304 	 -1.2506356765476756
40 	 -1.18069338201224 	 -1.2642724503470206
41 	 -1.1916391609123245 	 -1.277909224146366
42 	 -1.095060288506755 	 -1.2915459979457111
43 	 -1.152645895605202 	 -1.3051827717450566
44 	 -1.104890274459881 	 -1.3188195455444018
45 	 -1.1553872742585485 	 -1.332456319343747
46 	 -1.162968668211047 	 -1.3460930931430926
47 	 -1.2848062955354498 	 -1.3597298669424376
48 	 -1.3616965271262547 	 -1.373366640741783
49 	 -0.921150631813966 	 -1.387003414541128
50 	 -1.0699202035659814 	 -1.4006401883404735
51 	 -0.8472968835872972 	 -1.4142769621398188
52 	 -0.9182294301396456 	 -1.427913735939164
53 	 -0.9569402169407455 	 -1.4415505097385093
54 	 -1.0226250150894933 	 -1.4551872835378545
55 	 -0.6881705270516999 	 -1.4688240573372
56 	 -0.8549263846531114 	 -1.482460831136545
57 	 -0.93073003936093 	 -1.4960976049358905
58 	 -0.48399791133003106 	 -1.5097343787352355
59 	 -1.003546012491766 	 -1.523371152534581
60 	 -0.640502341425125 	 -1.5370079263339262
61 	 -1.048910257642761 	 -1.5506447001332715
62 	 -1.8621349868813808 	 -1.564281473932617
63 	 -0.8432639920819005 	 -1.577918247731962
64 	 -1.0809103932778372 	 -1.5915550215313075
65 	 -1.1939196806002155 	 -1.6051917953306525
66 	 -1.4836650106272773 	 -1.618828569129998
67 	 -1.6046608287244086 	 -1.6324653429293432
68 	 -0.680567164177885 	 -1.6461021167286884
69 	 -1.8207420761449333 	 -1.6597388905280337
70 	 -1.5820346439646102 	 -1.673375664327379
71 	 -1.3322245570086924 	 -1.6870124381267244
72 	 -1.2188590687125116 	 -1.7006492119260694
73 	 -1.667328651596554 	 -1.714285985725415
74 	 -1.278991427740027 	 -1.72792275952476
75 	 -0.9490780009398081 	 -1.7415595333241054
76 	 -1.0512082768516458 	 -1.7551963071234509
77 	 -1.5639711456028487 	 -1.768833080922796
78 	 -1.060868328216581 	 -1.7824698547221414
79 	 -1.4954906690040424 	 -1.7961066285214864
80 	 -2.456720534848695 	 -1.8097434023208319
81 	 -0.8266765642590448 	 -1.8233801761201769
82 	 -1.8717951256463892 	 -1.8370169499195224
83 	 -1.3633014602376157 	 -1.8506537237188674
84 	 -1.2192375666705555 	 -1.8642904975182129
85 	 -1.0245020271403646 	 -1.8779272713175583
86 	 -2.10005351598429 	 -1.8915640451169033
87 	 -1.0531477440514256 	 -1.9052008189162488
88 	 -2.63904572253852 	 -1.9188375927155938
89 	 -1.6292365201304364 	 -1.9324743665149393
90 	 -0.8690356137768521 	 -1.9461111403142843
91 	 -2.6912314303095686 	 -1.9597479141136298
92 	 -1.575533056165722 	 -1.9733846879129753
93 	 -2.169050009898209 	 -1.9870214617123203
94 	 -2.931181919149155 	 -2.0006582355116658
95 	 -1.0560506362080895 	 -2.014295009311011
96 	 -3.481215858854429 	 -2.0279317831103563
97 	 -1.4508303301768264 	 -2.0415685569097013
98 	 -2.358148476986204 	 -2.0552053307090468
99 	 -2.1068356359983937 	 -2.068842104508392
100 	 -2.3136299230859 	 -2.0824788783077373
101 	 -1.8776986411141927 	 -2.0961156521070827
102 	 -2.0680088751205057 	 -2.1097524259064278
103 	 -2.4849009206350003 	 -2.1233891997057732
104 	 -1.8495760304892723 	 -2.1370259735051182
105 	 -1.9266759392335748 	 -2.1506627473044637
106 	 -3.2580484622984405 	 -2.1642995211038087
