X 	 Y 	 Y_Predicted
0 	 1.1756328220854415 	 0.3581739228555319
1 	 0.9188304876278222 	 0.3300765009952003
2 	 0.50318012702761 	 0.30197907913486877
3 	 0.27632695209283575 	 0.27388165727453717
4 	 0.20125040310025682 	 0.24578423541420558
5 	 0.118039438421842 	 0.21768681355387398
6 	 0.1461790859045053 	 0.18958939169354241
7 	 -0.035996210135567266 	 0.16149196983321085
8 	 -0.022796493773298537 	 0.13339454797287925
9 	 -0.07040411601827286 	 0.10529712611254766
10 	 -0.04041474811648929 	 0.07719970425221606
11 	 -0.11944363108052646 	 0.04910228239188452
12 	 -0.14581962331992412 	 0.021004860531552927
13 	 -0.14145971380987823 	 -0.007092561328778668
14 	 -0.11642478280107109 	 -0.03518998318911021
15 	 -0.17598405187111268 	 -0.0632874050494418
16 	 -0.21691311003990116 	 -0.0913848269097734
17 	 -0.16726084734052862 	 -0.11948224877010499
18 	 -0.19754926874522458 	 -0.1475796706304366
19 	 -0.26102835502196636 	 -0.17567709249076818
20 	 -0.2849101992188147 	 -0.20377451435109978
21 	 -0.3091899134795404 	 -0.23187193621143126
22 	 -0.26923858014329 	 -0.25996935807176286
23 	 -0.3510585510433139 	 -0.28806677993209445
24 	 -0.4146412813259861 	 -0.31616420179242605
25 	 -0.4378291675587856 	 -0.34426162365275764
26 	 -0.35931644988659317 	 -0.37235904551308924
27 	 -0.4197312827555 	 -0.40045646737342083
28 	 -0.46595059026866503 	 -0.4285538892337523
29 	 -0.5053470726876043 	 -0.4566513110940839
30 	 -0.4430348595499169 	 -0.4847487329544155
31 	 -0.4788979736940988 	 -0.5128461548147472
32 	 -0.4920775858117075 	 -0.5409435766750788
33 	 -0.5187213829390211 	 -0.5690409985354103
34 	 -0.5686540760842422 	 -0.5971384203957419
35 	 -0.6080393772063285 	 -0.6252358422560735
36 	 -0.6287921208130655 	 -0.6533332641164051
37 	 -0.6922070625181738 	 -0.6814306859767367
38 	 -0.6937072010578627 	 -0.7095281078370683
39 	 -0.7577001938969108 	 -0.7376255296973999
40 	 -0.6281873354867274 	 -0.7657229515577315
41 	 -0.8701853835612049 	 -0.7938203734180629
42 	 -0.9093809980999213 	 -0.8219177952783945
43 	 -0.8728516691944328 	 -0.8500152171387261
44 	 -0.83087994360597 	 -0.8781126389990577
45 	 -0.9274633975931588 	 -0.9062100608593893
46 	 -0.8460478224274256 	 -0.9343074827197209
47 	 -0.7674474610048126 	 -0.9624049045800525
48 	 -0.8549726220340097 	 -0.990502326440384
49 	 -0.9580114768771721 	 -1.0185997483007156
50 	 -0.9079516393742968 	 -1.0466971701610472
51 	 -1.102200542215905 	 -1.0747945920213788
52 	 -0.8548140457297468 	 -1.1028920138817104
53 	 -0.870437440629569 	 -1.130989435742042
54 	 -0.9382789901034541 	 -1.1590868576023736
55 	 -1.1380563763715825 	 -1.1871842794627052
56 	 -1.13641580987641 	 -1.2152817013230366
57 	 -1.170599450806948 	 -1.2433791231833682
58 	 -1.0567404376870322 	 -1.2714765450436998
59 	 -1.435403018005916 	 -1.2995739669040314
